model,stockage,couleur,etat,prix
iPhone 13 mini,128,Minuit,Très bon état,739.00
iPhone 13 mini,128,Minuit,Parfait état,789.00
iPhone 13,128,(PRODUCT)Red,Très bon état,908.00
iPhone 13,128,(PRODUCT)Red,Parfait état,874.00
iPhone 13 Pro,256,Bleu alpin,Très bon état,1 250.00
iPhone 13 Pro,256,Bleu alpin,Parfait état,1 278.00
iPhone 13,256,(PRODUCT)Red,Parfait état,1 029.00
iPhone 13,128,Bleu,Parfait état,909.00
iPhone 13 mini,128,Bleu,Très bon état,789.00
iPhone 13 mini,128,Bleu,Parfait état,768.00
iPhone 13 Pro,256,Or,Très bon état,1 250.00
iPhone 13 Pro,256,Graphite,Très bon état,1 125.00
iPhone 13 Pro,256,Graphite,Parfait état,1 268.00
iPhone 13,512,Minuit,Parfait état,1 134.00
iPhone 13 mini,128,Rose,Très bon état,789.00
iPhone 13 mini,128,Rose,Parfait état,809.00
iPhone 13 mini,128,(PRODUCT)Red,Très bon état,789.00
iPhone 13 mini,128,(PRODUCT)Red,Parfait état,809.00
iPhone 13,512,Rose,Parfait état,1 129.00
iPhone 13,512,Bleu,Parfait état,1 132.00
iPhone 13,512,Lumière stellaire,Parfait état,1 199.00
iPhone 13 mini,256,(PRODUCT)Red,Parfait état,895.00
iPhone 13 mini,256,Bleu,Parfait état,899.00
iPhone 13 mini,512,Rose,Parfait état,1 085.00
iPhone 13 mini,512,(PRODUCT)Red,État correct,1 100.84
iPhone 13 mini,512,(PRODUCT)Red,Parfait état,1 075.00
iPhone 13 mini,512,Minuit,Très bon état,1 124.04
iPhone 13 mini,512,Minuit,Parfait état,1 089.00
iPhone 13,512,(PRODUCT)Red,Parfait état,1 129.00
iPhone 13 mini,512,Bleu,Parfait état,1 147.24
iPhone 13 mini,512,Lumière stellaire,Parfait état,1 147.24
iPhone 12,64,Noir,État correct,666.00
iPhone 12,64,Noir,Très bon état,674.00
iPhone 12,64,Noir,Parfait état,703.00
iPhone 12,64,Bleu,État correct,670.00
iPhone 12,64,Bleu,Très bon état,683.00
iPhone 12,64,Bleu,Parfait état,700.00
iPhone 12 mini,64,Bleu,État correct,555.00
iPhone 12 mini,64,Bleu,Très bon état,580.00
iPhone 12 mini,64,Bleu,Parfait état,555.00
iPhone 12 Pro,128,Bleu pacifique,État correct,796.00
iPhone 12 Pro,128,Bleu pacifique,Très bon état,881.00
iPhone 12 Pro,128,Bleu pacifique,Parfait état,885.00
iPhone 12 mini,64,Noir,État correct,636.84
iPhone 12 mini,64,Noir,Très bon état,629.00
iPhone 12 mini,64,Noir,Parfait état,601.00
iPhone 12,64,(PRODUCT)Red,État correct,685.00
iPhone 12,64,(PRODUCT)Red,Très bon état,666.00
iPhone 12,64,(PRODUCT)Red,Parfait état,655.00
iPhone 12,128,Bleu,État correct,720.00
iPhone 12,128,Bleu,Très bon état,715.00
iPhone 12,128,Bleu,Parfait état,762.00
iPhone 12,64,Blanc,Très bon état,745.00
iPhone 12,64,Blanc,Parfait état,700.00
